,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
bxpc3+INS_TAF7,0.07867858,0.875,0.14714186,0.18060297824148264,0.5625,1,15,3,bxpc3+INS
hap1+IFNG_PLEK,0.401456,1.0,0.6611618,5.3669306386171725,0.0,0,2,3,hap1+IFNG
ht29+INS_ELK1,0.0087107485,0.3333333333333333,0.0060789636,0.09837410498301075,0.3333333333333333,0,3,3,ht29+INS
ht29+INS_GRB2,0.0007193645,1.0,0.0060258377,0.1054506897247247,0.0,0,2,3,ht29+INS
ht29+INS_HSF1,4.6937614e-05,1.0,0.0066716564,0.014315871871332382,0.0,0,1,3,ht29+INS
ht29+INS_POLR2G,0.019744499,0.92,0.09826769,0.38799855508160136,0.68,1,24,3,ht29+INS
ht29+INS_SHC1,0.03973729,0.84,0.009062396,0.2393991699703369,0.56,0,25,3,ht29+INS
ht29+INS_TAF7,0.0017175806,1.0,0.005460736,0.004962003119293849,0.5,0,2,3,ht29+INS
ht29+TGFB_ATF2,0.04199515,0.7777777777777778,0.05771699,1.0559936874922289,0.4444444444444444,0,9,3,ht29+TGFB
ht29+TGFB_RBX1,0.05029501,0.76,0.10290017,0.9769129837898562,0.52,0,25,3,ht29+TGFB
ht29+TGFB_RELA,0.08197726,1.0,0.17072134,0.0012778461487675905,1.0,0,2,3,ht29+TGFB
ht29+TNFA_MAP2K3,0.0120361475,0.7777777777777778,0.07160637,0.16814727732964724,0.4444444444444444,0,9,3,ht29+TNFA
ht29+TNFA_RELB,0.012973873,0.5,0.0065699816,0.020199620120821556,0.5,0,4,3,ht29+TNFA
a549+TGFB_CHUK,0.1754427,0.64,0.11320908,0.4272692326103909,0.6,0,25,4,a549+TGFB
a549+TGFB_IKBKB,0.5680228,0.72,0.2608119,0.44104377363860453,0.52,0,25,4,a549+TGFB
a549+TGFB_MAPK14,0.29736847,1.0,0.70152813,0.1518116606679271,1.0,1,0,4,a549+TGFB
a549+TGFB_SKP1,0.28437367,0.84,0.12715797,0.7373361807084262,0.6,0,25,4,a549+TGFB
a549+TGFB_SMURF1,0.7194652,1.0,2.4476888,0.13797450116764515,1.0,0,1,4,a549+TGFB
bxpc3+INS_CHUK,0.5328949,0.48,0.52414924,0.5615663020945465,0.6,3,22,4,bxpc3+INS
bxpc3+INS_GRB10,0.80963975,0.5,0.9354418,1.2873783012339717,0.5,2,4,4,bxpc3+INS
bxpc3+INS_IKBKB,0.21370457,0.84,0.49920222,0.35507533706425426,0.84,3,22,4,bxpc3+INS
bxpc3+TNFA_CHUK,0.09677711,1.0,0.8199789,0.6425277973363136,0.92,0,25,4,bxpc3+TNFA
bxpc3+TNFA_CREB1,0.18191844,0.5,0.34583557,0.08173418886732775,1.0,0,4,4,bxpc3+TNFA
bxpc3+TNFA_DNM1L,0.38447526,0.4,0.30283776,0.9910223916460658,0.56,0,25,4,bxpc3+TNFA
bxpc3+TNFA_IKBKB,0.365516,0.72,0.5326869,0.5816389046585955,0.76,0,25,4,bxpc3+TNFA
bxpc3+TNFA_JUNB,0.044695083,0.44,0.036946632,0.39754888780361625,0.48,0,25,4,bxpc3+TNFA
bxpc3+TNFA_MAP3K14,0.30721816,0.3333333333333333,0.3205104,0.19870931489493524,0.6666666666666666,1,2,4,bxpc3+TNFA
