,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNG_FBXO6,0.42600664,0.38472456,1.107303,0.858109,-0.054272573,0.7631166575708583,0.09540469846114356,0.8913705953910952,0.9017045832131348,0.9885394972872207,2343,1767,,,,,,,,,,,,,a549+IFNG_FBXO6,a549+IFNG,FBXO6,False,True,0
a549+IFNG_FMNL2,0.40575466,0.3768493,1.0767027,0.86307406,-0.014812921,0.7649834266839282,0.0718590173847506,0.8951373617785918,0.9027555374072532,0.991561197563472,2265,1846,,,,,,,,,,,,,a549+IFNG_FMNL2,a549+IFNG,FMNL2,False,True,0
a549+IFNG_FOXN3,0.43374434,0.37406075,1.1595559,0.8580251,-0.19628441,0.785111714203696,-0.06997159980821946,0.8927052175038636,0.9081850121532011,0.9829552410112596,2027,2103,,,,,,,,,,,,,a549+IFNG_FOXN3,a549+IFNG,FOXN3,False,False,0
a549+IFNG_GUK1,0.40934134,0.38085815,1.0747869,0.8656181,-0.035769537,0.7896006944078098,0.03994048470065976,0.898259376845039,0.9056081820673785,0.9918852265606046,2212,1938,,,,,,,,,,,,,a549+IFNG_GUK1,a549+IFNG,GUK1,False,True,0
a549+IFNG_HLA-DQB1,0.39769015,0.36922792,1.0770859,0.86406714,-0.020153327,0.7783224998198416,0.04638976076764405,0.8958174983188525,0.9036576268628325,0.9913240055625956,2215,1898,0.18361623585224152,0.09525658190250397,1.9275963306427002,-0.3245258331298828,-0.684028148651123,-0.3,-0.3,0.5666591992772724,0.6762038507985569,0.8380005505855685,2.0,3.0,a549+IFNG_HLA-DQB1,a549+IFNG,HLA-DQB1,False,True,0
a549+IFNG_HLX,0.37297794,0.36698166,1.0163394,0.85347164,0.11994127,0.7300275516227314,0.27269685536062305,0.8842848237987403,0.8912690550585384,0.9921637229295037,2629,1444,0.4659918546676636,0.5357548594474792,0.8697856068611145,0.011662639677524567,0.0043768808245658875,0.1386379421980568,0.03153846153846154,0.4628805241671493,0.619846320000103,0.7467665923499754,18.0,7.0,a549+IFNG_HLX,a549+IFNG,HLX,False,True,0
a549+IFNG_IFI16,0.33994746,0.46335372,0.73366725,0.84148663,0.5008023,0.7315283220889464,0.41638891111986476,0.8717775562633422,0.8507066174753941,1.0247687491258495,2499,1284,1.0427772998809814,1.4265576601028442,0.7309744954109192,0.38217970728874207,0.4532484710216522,0.4104036721193767,0.5346153846153846,0.7161444222182142,0.7341848433707162,0.9754279575295008,19.0,6.0,a549+IFNG_IFI16,a549+IFNG,IFI16,False,True,0
a549+IFNG_IFNGR1,0.40151134,0.35843688,1.1201731,0.86851406,-0.1676241,0.7961959570459415,-0.045207809791379096,0.9005872668492284,0.9119471864139714,0.9875432264784835,2097,2036,0.8983606696128845,0.8802171945571899,1.0206124782562256,0.12104125320911407,-0.07135692983865738,0.0876923076923077,0.030769230769230767,0.8057644702469654,0.816824921436705,0.986459214331652,11.0,14.0,a549+IFNG_IFNGR1,a549+IFNG,IFNGR1,False,True,0
a549+IFNG_IFNGR2,0.39412284,0.35082138,1.1234288,0.8723055,-0.17164525,0.806452319927382,-0.07683850053733686,0.9040838641498048,0.915770929597554,0.9872380034460307,2055,2146,1.3272008895874023,1.2838525772094727,1.0337642431259155,0.6197972893714905,-0.42286416888237,0.5,-0.27153846153846156,0.848372704730406,0.8631987419826821,0.9828243062330906,15.0,10.0,a549+IFNG_IFNGR2,a549+IFNG,IFNGR2,False,True,0
a549+IFNG_IRF1,0.40477774,0.3789419,1.0681789,0.8687874,-0.032352675,0.8189138083191401,0.015348445184768135,0.9013709264416955,0.9080582604643486,0.9926355672165424,2163,2015,,,,,,,,,,,,,a549+IFNG_IRF1,a549+IFNG,IRF1,False,True,0
